,0
0,0.05797795879252515
1,0.08385241974125539
2,0.1080977479635841
3,0.11959750838524197
4,0.1405845711547676
5,0.13713464302827025
6,0.17460469573550552
7,0.17010062290368952
8,0.21255390512697653
9,0.206420699568759
10,0.250790608528989
11,0.23622424532822234
12,0.27666506947771924
13,0.2564446574029708
14,0.2986104456157163
15,0.2644944896981313
16,0.3172975563009104
17,0.28988979396262576
18,0.3397220891231433
19,0.2992812649736464
20,0.35323430761859126
21,0.3178725443219933
22,0.364638236703402
23,0.33186391950167704
24,0.380067081935793
25,0.3540009583133685
26,0.39770004791566843
27,0.37038811691423096
28,0.412841399137518
29,0.3766171538092956
