,0
0,0.09822712026832775
1,0.11030186871106852
2,0.13148059415428845
3,0.14317201724964063
4,0.15773838045040728
5,0.18351701006229038
6,0.17364638236703403
7,0.21130809774796358
8,0.20201245807379012
9,0.230857690464782
10,0.20948730234786775
11,0.24695735505510302
12,0.2304743651173934
13,0.27081935793004314
14,0.24427407762338285
15,0.28394825107810256
16,0.25634882606612364
17,0.30292285577383804
18,0.27503593675131766
19,0.3174892189746047
20,0.2883564925730714
21,0.32956396741734545
22,0.2998562529947293
23,0.3428845232390992
24,0.30474365117393387
25,0.3565884044082415
26,0.3304264494489698
27,0.36875898418782943
28,0.3365596550071874
29,0.3908001916626737
