,0
0,0.05970292285577384
1,0.07982750359367513
2,0.10426449448969813
3,0.11978917105893627
4,0.12927647340680404
5,0.15064686152371826
6,0.1456636320076665
7,0.17220891231432678
8,0.17057977958792525
9,0.2048873981792046
10,0.19310014374700527
11,0.22012458073790128
12,0.20335409678965022
13,0.23919501677048394
14,0.21964542405366555
15,0.2625778629611883
16,0.24101581217057977
17,0.2748442740776234
18,0.25443219932918065
19,0.29161475802587444
20,0.2740776233828462
21,0.3097268806899856
22,0.2853857211308098
23,0.32170579779587927
24,0.29937709631049353
25,0.33282223287014856
26,0.30685194058457116
27,0.34758025874460946
28,0.32343076185912795
29,0.3623382846190704
